eventid,ip,label
1,5.182.39.97,3
1,5.188.62.13,3
1,45.55.155.224,3
1,78.134.99.105,3
1,141.98.81.138,3
1,79.137.72.171,3
1,163.172.223.186,3
1,88.214.26.93,3
1,88.214.26.93,3
1,98.143.148.45,3
1,5.188.86.219,3
1,88.214.26.93,3
1,140.143.206.216,3
1,88.214.26.93,3
1,88.214.26.93,3
1,88.214.26.97,3
1,186.3.234.169,3
1,68.183.118.242,3
0,79.137.72.171,0
1,79.137.72.171,3
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,1
1,79.137.72.171,2
1,88.214.26.93,3
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,1
1,79.137.72.171,2
1,79.137.72.171,1
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,88.214.26.93,3
1,114.84.146.34,3
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,129.204.198.172,3
1,88.214.26.93,3
1,98.143.148.45,3
1,129.28.78.8,3
1,88.214.26.93,3
1,45.55.155.224,3
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,79.137.72.171,2
1,78.134.99.105,3
1,49.205.182.223,3
1,5.182.39.63,3
1,67.207.88.48,3
1,88.214.26.93,3
1,88.214.26.93,3
1,79.137.72.171,3
1,163.172.223.186,3
1,98.143.148.45,3
1,88.214.26.93,3
1,114.84.146.34,3
1,68.183.118.242,3
1,79.137.72.171,3
1,45.55.155.224,3
1,140.143.206.216,3
1,129.28.78.8,3
1,88.214.26.93,3
0,98.143.148.45,0
1,98.143.148.45,3
1,98.143.148.45,2
1,98.143.148.45,2
1,98.143.148.45,2
1,98.143.148.45,1
1,98.143.148.45,2
1,98.143.148.45,2
0,78.134.99.105,0
1,98.143.148.45,2
1,78.134.99.105,3
1,98.143.148.45,2
1,98.143.148.45,2
1,98.143.148.45,1
1,78.134.99.105,2
1,78.134.99.105,2
1,78.134.99.105,2
1,78.134.99.105,1
1,98.143.148.45,2
1,98.143.148.45,1
1,78.134.99.105,2
1,78.134.99.105,2
1,98.143.148.45,2
1,98.143.148.45,2
1,78.134.99.105,2
1,78.134.99.105,2
1,98.143.148.45,2
1,78.134.99.105,2
1,78.134.99.105,1
1,78.134.99.105,2
1,78.134.99.105,1
1,98.143.148.45,2
1,78.134.99.105,2
1,78.134.99.105,2
1,78.134.99.105,2
1,98.143.148.45,2
1,78.134.99.105,2
1,78.134.99.105,2
1,78.134.99.105,2
1,98.143.148.45,2
0,186.3.234.169,0
1,78.134.99.105,2
1,78.134.99.105,2
1,78.134.99.105,2
1,98.143.148.45,2
1,78.134.99.105,2
1,78.134.99.105,2
1,78.134.99.105,2
1,98.143.148.45,2
1,186.3.234.169,3
1,98.143.148.45,2
1,98.143.148.45,2
1,186.3.234.169,2
1,98.143.148.45,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,1
1,98.143.148.45,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,1
1,186.3.234.169,2
1,186.3.234.169,1
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,88.214.26.93,3
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,186.3.234.169,2
1,5.188.86.219,3
1,5.182.39.91,3
1,129.204.198.172,3
1,88.214.26.93,3
1,88.214.26.93,3
1,5.182.39.92,3
1,88.214.26.93,3
1,5.182.39.94,3
1,67.207.88.48,3
1,88.214.26.93,3
1,79.137.72.171,3
1,49.205.182.223,3
0,163.172.223.186,0
1,163.172.223.186,3
1,163.172.223.186,2
1,163.172.223.186,2
1,163.172.223.186,2
1,163.172.223.186,1
1,163.172.223.186,2
1,163.172.223.186,2
1,163.172.223.186,2
1,163.172.223.186,2
1,163.172.223.186,2
