eventid,ip,label
1,80,3
1,81,3
1,66,3
1,110,3
1,30,3
1,112,3
1,36,3
1,121,3
1,121,3
1,130,3
1,92,3
1,121,3
1,29,3
1,121,3
1,121,3
1,122,3
1,49,3
1,107,3
0,112,0
1,112,3
1,112,2
1,112,2
1,112,2
1,112,1
1,112,2
1,121,3
1,112,2
1,112,2
1,112,2
1,112,2
1,112,1
1,112,2
1,112,1
1,112,2
1,112,2
1,112,2
1,112,2
1,121,3
1,17,3
1,112,2
1,112,2
1,112,2
1,112,2
1,112,2
1,112,2
1,112,2
1,112,2
1,23,3
1,121,3
1,130,3
1,24,3
1,121,3
1,66,3
1,112,2
1,112,2
1,112,2
1,112,2
1,112,2
1,110,3
1,70,3
1,74,3
1,106,3
1,121,3
1,121,3
1,112,3
1,36,3
1,130,3
1,121,3
1,17,3
1,107,3
1,112,3
1,66,3
1,29,3
1,24,3
1,121,3
0,130,0
1,130,3
1,130,2
1,130,2
1,130,2
1,130,1
1,130,2
1,130,2
0,110,0
1,130,2
1,110,3
1,130,2
1,130,2
1,130,1
1,110,2
1,110,2
1,110,2
1,110,1
1,130,2
1,130,1
1,110,2
1,110,2
1,130,2
1,130,2
1,110,2
1,110,2
1,130,2
1,110,2
1,110,1
1,110,2
1,110,1
1,130,2
1,110,2
1,110,2
1,110,2
1,130,2
1,110,2
1,110,2
1,110,2
1,130,2
0,49,0
1,110,2
1,110,2
1,110,2
1,130,2
1,110,2
1,110,2
1,110,2
1,130,2
1,49,3
1,130,2
1,130,2
1,49,2
1,130,2
1,49,2
1,49,2
1,49,1
1,130,2
1,49,2
1,49,2
1,49,2
1,49,2
1,49,2
1,49,1
1,49,2
1,49,1
1,49,2
1,49,2
1,49,2
1,49,2
1,49,2
1,49,2
1,49,2
1,49,2
1,121,3
1,49,2
1,49,2
1,49,2
1,49,2
1,92,3
1,75,3
1,23,3
1,121,3
1,121,3
1,76,3
1,121,3
1,78,3
1,106,3
1,121,3
1,112,3
1,70,3
0,36,0
1,36,3
1,36,2
1,36,2
1,36,2
1,36,1
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,36,1
1,36,2
1,36,1
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,110,2
1,110,2
1,110,2
1,110,2
1,110,2
0,17,0
1,17,3
1,17,2
1,17,2
1,17,2
1,17,1
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,17,1
1,17,2
1,17,1
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,17,2
1,121,3
1,36,2
1,36,2
1,36,2
1,36,2
1,36,2
1,66,3
0,107,0
1,120,3
1,107,3
1,107,2
1,107,2
1,107,2
1,107,1
1,107,2
1,107,2
1,107,2
1,30,3
1,107,2
1,107,2
1,107,1
1,107,2
1,107,1
1,107,2
1,107,2
1,107,2
1,107,2
1,107,2
1,107,2
1,107,2
1,107,2
1,107,2
1,107,2
1,107,2
1,107,2
1,110,3
1,121,3
1,112,3
1,24,3
1,121,3
1,29,3
1,130,3
1,49,3
1,121,3
1,36,3
1,41,3
1,74,3
1,106,3
1,112,3
0,66,0
1,66,3
1,66,2
1,66,2
1,66,2
1,66,1
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,66,1
1,66,2
1,66,1
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,66,2
1,17,3
0,70,0
1,70,3
1,70,2
1,70,2
1,70,2
1,70,1
1,70,2
1,70,2
1,70,2
1,130,3
1,70,2
1,70,2
1,70,1
1,70,2
1,70,1
1,70,2
1,70,2
1,70,2
1,70,2
1,70,2
1,70,2
1,70,2
1,70,2
1,70,2
1,70,2
1,70,2
1,70,2
1,23,3
1,110,3
1,92,3
1,75,3
1,121,3
1,24,3
1,112,3
1,107,3
1,78,3
1,18,3
1,18,3
1,18,3
0,18,0
1,18,2
1,18,2
1,18,1
1,18,2
1,18,2
1,18,1
1,18,2
1,18,2
0,18,0
1,18,1
0,18,0
0,18,0
1,18,2
1,18,2
1,18,1
1,18,2
1,18,2
1,18,1
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
1,18,2
0,18,0
0,18,0
0,18,0
0,18,0
1,18,2
0,18,0
0,18,0
1,18,2
0,18,0
1,130,3
1,121,3
0,29,0
1,31,3
1,29,3
1,49,3
1,29,2
1,36,3
1,30,3
1,17,3
1,112,3
1,29,2
1,29,2
1,29,1
0,106,0
1,106,3
1,29,2
1,106,2
1,29,2
1,106,2
1,106,2
1,106,1
1,106,2
1,106,2
1,29,2
1,106,2
1,106,2
1,106,2
1,106,1
1,106,2
1,106,1
1,106,2
1,106,2
1,106,2
1,106,2
1,106,2
1,29,2
1,106,2
1,106,2
1,29,2
1,29,1
1,106,2
1,106,2
1,29,2
1,29,1
1,106,2
1,106,2
1,106,2
1,29,2
1,29,2
1,29,2
1,29,2
1,29,2
1,29,2
1,29,2
1,29,2
1,29,2
1,29,2
1,29,2
1,29,2
1,110,3
1,130,3
1,120,3
1,109,3
0,109,0
1,109,2
1,109,2
1,109,1
1,109,2
1,109,1
1,109,2
1,109,2
1,109,2
1,109,2
1,109,2
1,109,1
1,109,2
1,109,2
1,107,3
1,112,3
0,24,0
1,24,3
1,24,2
1,24,2
1,24,2
1,24,1
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,24,1
1,24,2
1,24,1
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,24,2
1,70,3
1,121,3
1,66,3
1,17,3
1,130,3
0,23,0
1,23,3
1,23,2
1,23,2
1,23,2
1,23,1
1,23,2
1,23,2
1,23,2
1,23,2
1,23,2
1,23,1
1,23,2
1,23,1
1,23,2
1,23,2
1,23,2
1,23,2
1,36,3
1,23,2
1,23,2
1,23,2
1,23,2
1,121,3
1,23,2
1,23,2
1,23,2
1,23,2
1,77,3
1,112,3
1,92,3
1,49,3
1,110,3
1,75,3
1,74,3
1,79,3
1,85,3
1,130,3
1,88,3
1,107,3
1,31,3
0,30,0
1,112,3
1,66,3
1,17,3
1,106,3
1,29,3
1,130,3
1,36,3
1,70,3
1,110,3
1,112,3
1,24,3
1,30,3
1,49,3
0,121,0
0,120,0
1,107,3
1,66,3
1,130,3
1,17,3
1,112,3
1,23,3
1,77,3
1,75,3
1,106,3
1,110,3
1,130,3
0,119,0
1,79,3
1,36,3
0,85,0
1,29,3
1,112,3
0,88,0
1,24,3
1,66,3
1,70,3
1,107,3
1,17,3
1,49,3
1,130,3
1,112,3
0,80,0
1,110,3
0,74,0
1,66,3
1,106,3
1,23,3
1,13,3
1,36,3
0,121,0
1,112,3
1,24,3
1,130,3
1,17,3
1,29,3
1,107,3
0,120,0
1,70,3
1,54,3
1,75,3
1,112,3
1,130,3
1,66,3
1,49,3
0,85,0
1,110,3
0,88,0
1,129,3
1,129,3
1,129,3
0,129,0
1,129,2
1,129,2
1,129,1
1,129,2
1,129,1
1,129,2
1,129,2
1,129,2
1,129,2
1,129,2
1,129,1
1,129,2
1,129,2
1,106,3
1,17,3
0,119,0
1,24,3
1,36,3
0,120,0
0,121,0
1,112,3
1,31,3
1,130,3
1,107,3
1,23,3
0,118,0
1,66,3
1,29,3
1,52,3
0,119,0
1,110,3
1,112,3
0,31,0
1,70,3
1,130,3
1,17,3
1,31,3
1,49,3
0,121,0
1,24,3
1,36,3
1,106,3
1,112,3
1,107,3
0,74,0
1,75,3
1,72,3
1,66,3
1,130,3
1,110,3
0,91,0
1,17,3
1,112,3
1,23,3
1,29,3
1,130,3
1,70,3
1,24,3
1,36,3
1,66,3
1,9,3
1,49,3
0,118,0
0,121,0
0,122,0
1,107,3
1,112,3
1,106,3
0,119,0
0,119,0
1,17,3
1,68,3
1,130,3
1,110,3
1,112,3
1,66,3
0,121,0
1,77,3
1,14,3
1,14,3
1,56,3
1,14,3
0,14,0
1,14,3
1,14,2
1,14,2
1,14,1
1,14,2
1,14,1
1,14,2
1,14,3
1,14,2
1,14,2
1,14,3
1,14,2
1,24,3
1,14,2
1,14,1
1,14,2
1,14,2
1,14,3
1,14,3
1,14,3
1,14,3
1,14,3
1,29,3
1,130,3
1,14,3
1,14,3
1,14,3
1,14,3
1,14,3
1,14,3
1,14,3
1,14,3
1,23,3
1,36,3
1,107,3
1,70,3
1,2,3
1,17,3
1,112,3
0,91,0
1,49,3
1,106,3
1,110,3
0,74,0
0,119,0
1,130,3
1,66,3
0,16,0
1,16,2
1,16,2
1,16,1
1,16,2
1,16,1
1,16,2
1,16,2
1,16,2
1,16,2
